 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
-37.5,-37.5,0.01,7.68E-03,0.1
-37.5,-32.5,0.01,8.57E-03,0.1
-37.5,-27.5,0.01,9.68E-03,0.1
-37.5,-22.5,0.01,1.06E-02,0.1
-37.5,-17.5,0.01,1.11E-02,0.1
-37.5,-12.5,0.01,1.25E-02,0.1
-37.5,-7.5,0.01,1.30E-02,0.1
-37.5,-2.5,0.01,1.25E-02,0.1
-37.5,2.5,0.01,1.28E-02,0.1
-37.5,7.5,0.01,1.21E-02,0.1
-37.5,12.5,0.01,1.17E-02,0.1
-37.5,17.5,0.01,1.18E-02,0.1
-37.5,22.5,0.01,1.03E-02,0.1
-37.5,27.5,0.01,9.16E-03,0.1
-37.5,32.5,0.01,7.76E-03,0.1
-37.5,37.5,0.01,7.90E-03,0.1
-37.5,42.5,0.01,6.68E-03,0.1
-37.5,47.5,0.01,5.30E-03,0.1
-37.5,52.5,0.01,5.22E-03,0.1
-37.5,57.5,0.01,4.58E-03,0.1
-37.5,62.5,0.01,3.46E-03,0.1
-37.5,67.5,0.01,3.37E-03,0.1
-37.5,72.5,0.01,3.46E-03,0.1
-37.5,77.5,0.01,2.03E-03,0.1
-37.5,82.5,0.01,1.67E-03,0.1
-37.5,87.5,0.01,1.37E-03,0.1
-37.5,92.5,0.01,1.28E-03,0.1
-37.5,97.5,0.01,9.56E-04,0.1
-37.5,102.5,0.01,9.84E-04,0.1
-37.5,107.5,0.01,7.36E-04,0.1
-37.5,112.5,0.01,1.04E-03,0.1
-37.5,117.5,0.01,3.53E-04,0.1
-32.5,-37.5,0.01,8.47E-03,0.1
-32.5,-32.5,0.01,8.95E-03,0.1
-32.5,-27.5,0.01,1.09E-02,0.1
-32.5,-22.5,0.01,1.25E-02,0.1
-32.5,-17.5,0.01,1.33E-02,0.1
-32.5,-12.5,0.01,1.44E-02,0.1
-32.5,-7.5,0.01,1.48E-02,0.1
-32.5,-2.5,0.01,1.51E-02,0.1
-32.5,2.5,0.01,1.50E-02,0.1
-32.5,7.5,0.01,1.46E-02,0.1
-32.5,12.5,0.01,1.45E-02,0.1
-32.5,17.5,0.01,1.31E-02,0.1
-32.5,22.5,0.01,1.25E-02,0.1
-32.5,27.5,0.01,1.13E-02,0.1
-32.5,32.5,0.01,9.24E-03,0.1
-32.5,37.5,0.01,8.80E-03,0.1
-32.5,42.5,0.01,6.94E-03,0.1
-32.5,47.5,0.01,5.70E-03,0.1
-32.5,52.5,0.01,5.16E-03,0.1
-32.5,57.5,0.01,4.50E-03,0.1
-32.5,62.5,0.01,3.86E-03,0.1
-32.5,67.5,0.01,3.75E-03,0.1
-32.5,72.5,0.01,2.85E-03,0.1
-32.5,77.5,0.01,2.42E-03,0.1
-32.5,82.5,0.01,2.33E-03,0.1
-32.5,87.5,0.01,2.66E-03,0.1
-32.5,92.5,0.01,2.25E-03,0.1
-32.5,97.5,0.01,2.09E-03,0.1
-32.5,102.5,0.01,1.37E-03,0.1
-32.5,107.5,0.01,1.35E-03,0.1
-32.5,112.5,0.01,1.27E-03,0.1
-32.5,117.5,0.01,1.13E-03,0.1
-27.5,-37.5,0.01,9.55E-03,0.1
-27.5,-32.5,0.01,1.06E-02,0.1
-27.5,-27.5,0.01,1.18E-02,0.1
-27.5,-22.5,0.01,1.34E-02,0.1
-27.5,-17.5,0.01,1.55E-02,0.1
-27.5,-12.5,0.01,1.69E-02,0.1
-27.5,-7.5,0.01,1.82E-02,0.1
-27.5,-2.5,0.01,1.90E-02,0.1
-27.5,2.5,0.01,1.84E-02,0.1
-27.5,7.5,0.01,1.77E-02,0.1
-27.5,12.5,0.01,1.75E-02,0.1
-27.5,17.5,0.01,1.58E-02,0.1
-27.5,22.5,0.01,1.36E-02,0.1
-27.5,27.5,0.01,1.26E-02,0.1
-27.5,32.5,0.01,1.07E-02,0.1
-27.5,37.5,0.01,9.13E-03,0.1
-27.5,42.5,0.01,7.93E-03,0.1
-27.5,47.5,0.01,6.90E-03,0.1
-27.5,52.5,0.01,5.64E-03,0.1
-27.5,57.5,0.01,4.86E-03,0.1
-27.5,62.5,0.01,4.04E-03,0.1
-27.5,67.5,0.01,3.48E-03,0.1
-27.5,72.5,0.01,3.77E-03,0.1
-27.5,77.5,0.01,2.49E-03,0.1
-27.5,82.5,0.01,2.49E-03,0.1
-27.5,87.5,0.01,1.57E-03,0.1
-27.5,92.5,0.01,1.61E-03,0.1
-27.5,97.5,0.01,1.53E-03,0.1
-27.5,102.5,0.01,2.03E-03,0.1
-27.5,107.5,0.01,1.39E-03,0.1
-27.5,112.5,0.01,1.38E-03,0.1
-27.5,117.5,0.01,4.31E-04,0.1
-22.5,-37.5,0.01,1.04E-02,0.1
-22.5,-32.5,0.01,1.21E-02,0.1
-22.5,-27.5,0.01,1.43E-02,0.1
-22.5,-22.5,0.01,1.62E-02,0.1
-22.5,-17.5,0.01,1.78E-02,0.1
-22.5,-12.5,0.01,1.94E-02,0.1
-22.5,-7.5,0.01,2.08E-02,0.1
-22.5,-2.5,0.01,2.14E-02,0.1
-22.5,2.5,0.01,2.26E-02,0.1
-22.5,7.5,0.01,2.16E-02,0.1
-22.5,12.5,0.01,1.92E-02,0.1
-22.5,17.5,0.01,1.81E-02,0.1
-22.5,22.5,0.01,1.54E-02,0.1
-22.5,27.5,0.01,1.46E-02,0.1
-22.5,32.5,0.01,1.23E-02,0.1
-22.5,37.5,0.01,1.06E-02,0.1
-22.5,42.5,0.01,8.31E-03,0.1
-22.5,47.5,0.01,7.32E-03,0.1
-22.5,52.5,0.01,6.46E-03,0.1
-22.5,57.5,0.01,5.69E-03,0.1
-22.5,62.5,0.01,3.96E-03,0.1
-22.5,67.5,0.01,4.42E-03,0.1
-22.5,72.5,0.01,3.82E-03,0.1
-22.5,77.5,0.01,2.59E-03,0.1
-22.5,82.5,0.01,2.45E-03,0.1
-22.5,87.5,0.01,2.02E-03,0.1
-22.5,92.5,0.01,2.27E-03,0.1
-22.5,97.5,0.01,1.73E-03,0.1
-22.5,102.5,0.01,2.14E-03,0.1
-22.5,107.5,0.01,8.39E-04,0.1
-22.5,112.5,0.01,7.68E-04,0.1
-22.5,117.5,0.01,5.22E-04,0.1
-17.5,-37.5,0.01,1.12E-02,0.1
-17.5,-32.5,0.01,1.26E-02,0.1
-17.5,-27.5,0.01,1.54E-02,0.1
-17.5,-22.5,0.01,1.86E-02,0.1
-17.5,-17.5,0.01,2.00E-02,0.1
-17.5,-12.5,0.01,2.27E-02,0.1
-17.5,-7.5,0.01,2.48E-02,0.1
-17.5,-2.5,0.01,2.53E-02,0.1
-17.5,2.5,0.01,2.54E-02,0.1
-17.5,7.5,0.01,2.43E-02,0.1
-17.5,12.5,0.01,2.25E-02,0.1
-17.5,17.5,0.01,1.99E-02,0.1
-17.5,22.5,0.01,1.76E-02,0.1
-17.5,27.5,0.01,1.56E-02,0.1
-17.5,32.5,0.01,1.36E-02,0.1
-17.5,37.5,0.01,1.08E-02,0.1
-17.5,42.5,0.01,1.00E-02,0.1
-17.5,47.5,0.01,7.89E-03,0.1
-17.5,52.5,0.01,6.70E-03,0.1
-17.5,57.5,0.01,5.73E-03,0.1
-17.5,62.5,0.01,4.89E-03,0.1
-17.5,67.5,0.01,4.52E-03,0.1
-17.5,72.5,0.01,3.93E-03,0.1
-17.5,77.5,0.01,3.48E-03,0.1
-17.5,82.5,0.01,2.65E-03,0.1
-17.5,87.5,0.01,2.69E-03,0.1
-17.5,92.5,0.01,1.92E-03,0.1
-17.5,97.5,0.01,1.17E-03,0.1
-17.5,102.5,0.01,2.04E-03,0.1
-17.5,107.5,0.01,1.94E-03,0.1
-17.5,112.5,0.01,1.10E-03,0.1
-17.5,117.5,0.01,4.44E-04,0.1
-12.5,-37.5,0.01,1.16E-02,0.1
-12.5,-32.5,0.01,1.39E-02,0.1
-12.5,-27.5,0.01,1.67E-02,0.1
-12.5,-22.5,0.01,2.01E-02,0.1
-12.5,-17.5,0.01,2.26E-02,0.1
-12.5,-12.5,0.01,2.61E-02,0.1
-12.5,-7.5,0.01,2.78E-02,0.1
-12.5,-2.5,0.01,2.86E-02,0.1
-12.5,2.5,0.01,2.91E-02,0.1
-12.5,7.5,0.01,2.71E-02,0.1
-12.5,12.5,0.01,2.54E-02,0.1
-12.5,17.5,0.01,2.23E-02,0.1
-12.5,22.5,0.01,1.95E-02,0.1
-12.5,27.5,0.01,1.72E-02,0.1
-12.5,32.5,0.01,1.42E-02,0.1
-12.5,37.5,0.01,1.24E-02,0.1
-12.5,42.5,0.01,9.69E-03,0.1
-12.5,47.5,0.01,8.12E-03,0.1
-12.5,52.5,0.01,7.00E-03,0.1
-12.5,57.5,0.01,5.89E-03,0.1
-12.5,62.5,0.01,4.95E-03,0.1
-12.5,67.5,0.01,3.73E-03,0.1
-12.5,72.5,0.01,3.31E-03,0.1
-12.5,77.5,0.01,3.44E-03,0.1
-12.5,82.5,0.01,2.15E-03,0.1
-12.5,87.5,0.01,2.65E-03,0.1
-12.5,92.5,0.01,1.54E-03,0.1
-12.5,97.5,0.01,1.37E-03,0.1
-12.5,102.5,0.01,2.09E-03,0.1
-12.5,107.5,0.01,9.68E-04,0.1
-12.5,112.5,0.01,1.41E-03,0.1
-12.5,117.5,0.01,1.23E-03,0.1
-7.5,-37.5,0.01,1.25E-02,0.1
-7.5,-32.5,0.01,1.50E-02,0.1
-7.5,-27.5,0.01,1.74E-02,0.1
-7.5,-22.5,0.01,2.10E-02,0.1
-7.5,-17.5,0.01,2.49E-02,0.1
-7.5,-12.5,0.01,2.71E-02,0.1
-7.5,-7.5,0.01,3.06E-02,0.1
-7.5,-2.5,0.01,3.18E-02,0.1
-7.5,2.5,0.01,3.10E-02,0.1
-7.5,7.5,0.01,2.95E-02,0.1
-7.5,12.5,0.01,2.80E-02,0.1
-7.5,17.5,0.01,2.44E-02,0.1
-7.5,22.5,0.01,2.08E-02,0.1
-7.5,27.5,0.01,1.78E-02,0.1
-7.5,32.5,0.01,1.57E-02,0.1
-7.5,37.5,0.01,1.31E-02,0.1
-7.5,42.5,0.01,9.87E-03,0.1
-7.5,47.5,0.01,8.20E-03,0.1
-7.5,52.5,0.01,7.77E-03,0.1
-7.5,57.5,0.01,6.44E-03,0.1
-7.5,62.5,0.01,5.41E-03,0.1
-7.5,67.5,0.01,3.98E-03,0.1
-7.5,72.5,0.01,4.04E-03,0.1
-7.5,77.5,0.01,2.75E-03,0.1
-7.5,82.5,0.01,2.84E-03,0.1
-7.5,87.5,0.01,2.64E-03,0.1
-7.5,92.5,0.01,2.66E-03,0.1
-7.5,97.5,0.01,2.42E-03,0.1
-7.5,102.5,0.01,1.08E-03,0.1
-7.5,107.5,0.01,1.52E-03,0.1
-7.5,112.5,0.01,1.53E-03,0.1
-7.5,117.5,0.01,1.65E-03,0.1
-2.5,-37.5,0.01,1.35E-02,0.1
-2.5,-32.5,0.01,1.50E-02,0.1
-2.5,-27.5,0.01,1.90E-02,0.1
-2.5,-22.5,0.01,2.15E-02,0.1
-2.5,-17.5,0.01,2.56E-02,0.1
-2.5,-12.5,0.01,2.85E-02,0.1
-2.5,-7.5,0.01,3.19E-02,0.1
-2.5,-2.5,0.01,3.29E-02,0.1
-2.5,2.5,0.01,3.32E-02,0.1
-2.5,7.5,0.01,3.15E-02,0.1
-2.5,12.5,0.01,2.91E-02,0.1
-2.5,17.5,0.01,2.57E-02,0.1
-2.5,22.5,0.01,2.17E-02,0.1
-2.5,27.5,0.01,1.80E-02,0.1
-2.5,32.5,0.01,1.60E-02,0.1
-2.5,37.5,0.01,1.32E-02,0.1
-2.5,42.5,0.01,1.09E-02,0.1
-2.5,47.5,0.01,8.92E-03,0.1
-2.5,52.5,0.01,6.81E-03,0.1
-2.5,57.5,0.01,6.16E-03,0.1
-2.5,62.5,0.01,4.60E-03,0.1
-2.5,67.5,0.01,4.28E-03,0.1
-2.5,72.5,0.01,3.31E-03,0.1
-2.5,77.5,0.01,3.10E-03,0.1
-2.5,82.5,0.01,2.20E-03,0.1
-2.5,87.5,0.01,2.31E-03,0.1
-2.5,92.5,0.01,1.72E-03,0.1
-2.5,97.5,0.01,1.31E-03,0.1
-2.5,102.5,0.01,1.87E-03,0.1
-2.5,107.5,0.01,2.03E-03,0.1
-2.5,112.5,0.01,1.35E-03,0.1
-2.5,117.5,0.01,1.24E-03,0.1
2.5,-37.5,0.01,1.30E-02,0.1
2.5,-32.5,0.01,1.58E-02,0.1
2.5,-27.5,0.01,1.89E-02,0.1
2.5,-22.5,0.01,2.23E-02,0.1
2.5,-17.5,0.01,2.57E-02,0.1
2.5,-12.5,0.01,2.84E-02,0.1
2.5,-7.5,0.01,3.13E-02,0.1
2.5,-2.5,0.01,3.23E-02,0.1
2.5,2.5,0.01,3.23E-02,0.1
2.5,7.5,0.01,3.14E-02,0.1
2.5,12.5,0.01,2.84E-02,0.1
2.5,17.5,0.01,2.50E-02,0.1
2.5,22.5,0.01,2.14E-02,0.1
2.5,27.5,0.01,1.90E-02,0.1
2.5,32.5,0.01,1.59E-02,0.1
2.5,37.5,0.01,1.35E-02,0.1
2.5,42.5,0.01,1.08E-02,0.1
2.5,47.5,0.01,9.01E-03,0.1
2.5,52.5,0.01,7.52E-03,0.1
2.5,57.5,0.01,6.47E-03,0.1
2.5,62.5,0.01,4.88E-03,0.1
2.5,67.5,0.01,4.28E-03,0.1
2.5,72.5,0.01,4.00E-03,0.1
2.5,77.5,0.01,3.45E-03,0.1
2.5,82.5,0.01,2.50E-03,0.1
2.5,87.5,0.01,2.85E-03,0.1
2.5,92.5,0.01,1.53E-03,0.1
2.5,97.5,0.01,1.45E-03,0.1
2.5,102.5,0.01,2.17E-03,0.1
2.5,107.5,0.01,1.96E-03,0.1
2.5,112.5,0.01,1.03E-03,0.1
2.5,117.5,0.01,1.17E-03,0.1
7.5,-37.5,0.01,1.32E-02,0.1
7.5,-32.5,0.01,1.46E-02,0.1
7.5,-27.5,0.01,1.77E-02,0.1
7.5,-22.5,0.01,2.15E-02,0.1
7.5,-17.5,0.01,2.46E-02,0.1
7.5,-12.5,0.01,2.81E-02,0.1
7.5,-7.5,0.01,2.99E-02,0.1
7.5,-2.5,0.01,3.17E-02,0.1
7.5,2.5,0.01,3.16E-02,0.1
7.5,7.5,0.01,2.96E-02,0.1
7.5,12.5,0.01,2.71E-02,0.1
7.5,17.5,0.01,2.43E-02,0.1
7.5,22.5,0.01,2.14E-02,0.1
7.5,27.5,0.01,1.79E-02,0.1
7.5,32.5,0.01,1.58E-02,0.1
7.5,37.5,0.01,1.23E-02,0.1
7.5,42.5,0.01,1.10E-02,0.1
7.5,47.5,0.01,8.21E-03,0.1
7.5,52.5,0.01,7.61E-03,0.1
7.5,57.5,0.01,6.54E-03,0.1
7.5,62.5,0.01,5.01E-03,0.1
7.5,67.5,0.01,3.82E-03,0.1
7.5,72.5,0.01,4.14E-03,0.1
7.5,77.5,0.01,2.86E-03,0.1
7.5,82.5,0.01,2.55E-03,0.1
7.5,87.5,0.01,2.54E-03,0.1
7.5,92.5,0.01,1.99E-03,0.1
7.5,97.5,0.01,2.19E-03,0.1
7.5,102.5,0.01,2.00E-03,0.1
7.5,107.5,0.01,8.63E-04,0.1
7.5,112.5,0.01,6.92E-04,0.1
7.5,117.5,0.01,1.63E-03,0.1
12.5,-37.5,0.01,1.25E-02,0.1
12.5,-32.5,0.01,1.47E-02,0.1
12.5,-27.5,0.01,1.64E-02,0.1
12.5,-22.5,0.01,1.99E-02,0.1
12.5,-17.5,0.01,2.30E-02,0.1
12.5,-12.5,0.01,2.50E-02,0.1
12.5,-7.5,0.01,2.78E-02,0.1
12.5,-2.5,0.01,2.91E-02,0.1
12.5,2.5,0.01,2.91E-02,0.1
12.5,7.5,0.01,2.71E-02,0.1
12.5,12.5,0.01,2.54E-02,0.1
12.5,17.5,0.01,2.32E-02,0.1
12.5,22.5,0.01,1.94E-02,0.1
12.5,27.5,0.01,1.75E-02,0.1
12.5,32.5,0.01,1.47E-02,0.1
12.5,37.5,0.01,1.21E-02,0.1
12.5,42.5,0.01,1.05E-02,0.1
12.5,47.5,0.01,8.38E-03,0.1
12.5,52.5,0.01,7.35E-03,0.1
12.5,57.5,0.01,5.80E-03,0.1
12.5,62.5,0.01,4.98E-03,0.1
12.5,67.5,0.01,3.89E-03,0.1
12.5,72.5,0.01,3.98E-03,0.1
12.5,77.5,0.01,3.44E-03,0.1
12.5,82.5,0.01,3.12E-03,0.1
12.5,87.5,0.01,2.12E-03,0.1
12.5,92.5,0.01,2.24E-03,0.1
12.5,97.5,0.01,1.71E-03,0.1
12.5,102.5,0.01,2.06E-03,0.1
12.5,107.5,0.01,1.01E-03,0.1
12.5,112.5,0.01,5.86E-04,0.1
12.5,117.5,0.01,1.43E-03,0.1
17.5,-37.5,0.01,1.14E-02,0.1
17.5,-32.5,0.01,1.36E-02,0.1
17.5,-27.5,0.01,1.61E-02,0.1
17.5,-22.5,0.01,1.83E-02,0.1
17.5,-17.5,0.01,2.04E-02,0.1
17.5,-12.5,0.01,2.26E-02,0.1
17.5,-7.5,0.01,2.42E-02,0.1
17.5,-2.5,0.01,2.57E-02,0.1
17.5,2.5,0.01,2.51E-02,0.1
17.5,7.5,0.01,2.46E-02,0.1
17.5,12.5,0.01,2.29E-02,0.1
17.5,17.5,0.01,2.06E-02,0.1
17.5,22.5,0.01,1.86E-02,0.1
17.5,27.5,0.01,1.52E-02,0.1
17.5,32.5,0.01,1.31E-02,0.1
17.5,37.5,0.01,1.15E-02,0.1
17.5,42.5,0.01,9.37E-03,0.1
17.5,47.5,0.01,7.49E-03,0.1
17.5,52.5,0.01,6.09E-03,0.1
17.5,57.5,0.01,5.38E-03,0.1
17.5,62.5,0.01,5.29E-03,0.1
17.5,67.5,0.01,4.69E-03,0.1
17.5,72.5,0.01,3.29E-03,0.1
17.5,77.5,0.01,2.86E-03,0.1
17.5,82.5,0.01,2.38E-03,0.1
17.5,87.5,0.01,1.76E-03,0.1
17.5,92.5,0.01,1.91E-03,0.1
17.5,97.5,0.01,1.86E-03,0.1
17.5,102.5,0.01,9.50E-04,0.1
17.5,107.5,0.01,9.52E-04,0.1
17.5,112.5,0.01,9.74E-04,0.1
17.5,117.5,0.01,5.36E-04,0.1
22.5,-37.5,0.01,1.04E-02,0.1
22.5,-32.5,0.01,1.19E-02,0.1
22.5,-27.5,0.01,1.34E-02,0.1
22.5,-22.5,0.01,1.57E-02,0.1
22.5,-17.5,0.01,1.80E-02,0.1
22.5,-12.5,0.01,2.02E-02,0.1
22.5,-7.5,0.01,2.15E-02,0.1
22.5,-2.5,0.01,2.25E-02,0.1
22.5,2.5,0.01,2.23E-02,0.1
22.5,7.5,0.01,2.14E-02,0.1
22.5,12.5,0.01,1.96E-02,0.1
22.5,17.5,0.01,1.81E-02,0.1
22.5,22.5,0.01,1.57E-02,0.1
22.5,27.5,0.01,1.34E-02,0.1
22.5,32.5,0.01,1.20E-02,0.1
22.5,37.5,0.01,1.01E-02,0.1
22.5,42.5,0.01,8.22E-03,0.1
22.5,47.5,0.01,7.37E-03,0.1
22.5,52.5,0.01,6.21E-03,0.1
22.5,57.5,0.01,5.84E-03,0.1
22.5,62.5,0.01,4.62E-03,0.1
22.5,67.5,0.01,3.96E-03,0.1
22.5,72.5,0.01,3.64E-03,0.1
22.5,77.5,0.01,3.37E-03,0.1
22.5,82.5,0.01,2.98E-03,0.1
22.5,87.5,0.01,1.79E-03,0.1
22.5,92.5,0.01,1.76E-03,0.1
22.5,97.5,0.01,2.28E-03,0.1
22.5,102.5,0.01,2.00E-03,0.1
22.5,107.5,0.01,1.95E-03,0.1
22.5,112.5,0.01,6.89E-04,0.1
22.5,117.5,0.01,1.54E-03,0.1
27.5,-37.5,0.01,8.80E-03,0.1
27.5,-32.5,0.01,1.13E-02,0.1
27.5,-27.5,0.01,1.26E-02,0.1
27.5,-22.5,0.01,1.41E-02,0.1
27.5,-17.5,0.01,1.50E-02,0.1
27.5,-12.5,0.01,1.76E-02,0.1
27.5,-7.5,0.01,1.82E-02,0.1
27.5,-2.5,0.01,1.91E-02,0.1
27.5,2.5,0.01,1.89E-02,0.1
27.5,7.5,0.01,1.82E-02,0.1
27.5,12.5,0.01,1.67E-02,0.1
27.5,17.5,0.01,1.56E-02,0.1
27.5,22.5,0.01,1.46E-02,0.1
27.5,27.5,0.01,1.23E-02,0.1
27.5,32.5,0.01,1.04E-02,0.1
27.5,37.5,0.01,8.76E-03,0.1
27.5,42.5,0.01,7.80E-03,0.1
27.5,47.5,0.01,6.61E-03,0.1
27.5,52.5,0.01,5.56E-03,0.1
27.5,57.5,0.01,4.71E-03,0.1
27.5,62.5,0.01,4.05E-03,0.1
27.5,67.5,0.01,3.77E-03,0.1
27.5,72.5,0.01,3.68E-03,0.1
27.5,77.5,0.01,3.03E-03,0.1
27.5,82.5,0.01,3.03E-03,0.1
27.5,87.5,0.01,1.67E-03,0.1
27.5,92.5,0.01,1.76E-03,0.1
27.5,97.5,0.01,1.75E-03,0.1
27.5,102.5,0.01,1.59E-03,0.1
27.5,107.5,0.01,1.89E-03,0.1
27.5,112.5,0.01,1.04E-03,0.1
27.5,117.5,0.01,4.35E-04,0.1
32.5,-37.5,0.01,8.83E-03,0.1
32.5,-32.5,0.01,8.98E-03,0.1
32.5,-27.5,0.01,1.02E-02,0.1
32.5,-22.5,0.01,1.19E-02,0.1
32.5,-17.5,0.01,1.29E-02,0.1
32.5,-12.5,0.01,1.37E-02,0.1
32.5,-7.5,0.01,1.54E-02,0.1
32.5,-2.5,0.01,1.61E-02,0.1
32.5,2.5,0.01,1.58E-02,0.1
32.5,7.5,0.01,1.49E-02,0.1
32.5,12.5,0.01,1.42E-02,0.1
32.5,17.5,0.01,1.37E-02,0.1
32.5,22.5,0.01,1.22E-02,0.1
32.5,27.5,0.01,1.11E-02,0.1
32.5,32.5,0.01,9.53E-03,0.1
32.5,37.5,0.01,7.64E-03,0.1
32.5,42.5,0.01,7.41E-03,0.1
32.5,47.5,0.01,5.76E-03,0.1
32.5,52.5,0.01,5.06E-03,0.1
32.5,57.5,0.01,4.37E-03,0.1
32.5,62.5,0.01,4.32E-03,0.1
32.5,67.5,0.01,3.00E-03,0.1
32.5,72.5,0.01,3.31E-03,0.1
32.5,77.5,0.01,2.12E-03,0.1
32.5,82.5,0.01,2.91E-03,0.1
32.5,87.5,0.01,2.32E-03,0.1
32.5,92.5,0.01,2.23E-03,0.1
32.5,97.5,0.01,1.85E-03,0.1
32.5,102.5,0.01,1.54E-03,0.1
32.5,107.5,0.01,1.71E-03,0.1
32.5,112.5,0.01,1.32E-03,0.1
32.5,117.5,0.01,1.16E-03,0.1
37.5,-37.5,0.01,7.57E-03,0.1
37.5,-32.5,0.01,8.67E-03,0.1
37.5,-27.5,0.01,8.99E-03,0.1
37.5,-22.5,0.01,1.06E-02,0.1
37.5,-17.5,0.01,1.15E-02,0.1
37.5,-12.5,0.01,1.26E-02,0.1
37.5,-7.5,0.01,1.21E-02,0.1
37.5,-2.5,0.01,1.34E-02,0.1
37.5,2.5,0.01,1.31E-02,0.1
37.5,7.5,0.01,1.22E-02,0.1
37.5,12.5,0.01,1.23E-02,0.1
37.5,17.5,0.01,1.07E-02,0.1
37.5,22.5,0.01,9.98E-03,0.1
37.5,27.5,0.01,9.03E-03,0.1
37.5,32.5,0.01,7.91E-03,0.1
37.5,37.5,0.01,6.88E-03,0.1
37.5,42.5,0.01,6.17E-03,0.1
37.5,47.5,0.01,6.04E-03,0.1
37.5,52.5,0.01,4.56E-03,0.1
37.5,57.5,0.01,4.31E-03,0.1
37.5,62.5,0.01,3.43E-03,0.1
37.5,67.5,0.01,3.54E-03,0.1
37.5,72.5,0.01,3.18E-03,0.1
37.5,77.5,0.01,2.80E-03,0.1
37.5,82.5,0.01,2.69E-03,0.1
37.5,87.5,0.01,2.48E-03,0.1
37.5,92.5,0.01,1.61E-03,0.1
37.5,97.5,0.01,2.04E-03,0.1
37.5,102.5,0.01,1.17E-03,0.1
37.5,107.5,0.01,1.26E-03,0.1
37.5,112.5,0.01,8.19E-04,0.1
