x_m,y_m,z_m,gv_mGal,stdev
529168,2092397,2590.76174,-179.7545614,1
529168,2093397,2690.695532,-184.8093553,1
529168,2094397,2639.900422,-183.8454849,1
529168,2095397,2661.989907,-183.1892433,1
529168,2096397,2645.774478,-184.5438448,1
529168,2097397,2755.775732,-188.8782501,1
529168,2098397,2854.059901,-193.8375693,1
529168,2099397,2828.532001,-194.4017083,1
529168,2100397,2741.777913,-193.1547336,1
529168,2101397,2662.626712,-193.0183692,1
529168,2102397,2666.352519,-196.35843,1
529168,2103397,2693.354667,-200.9302004,1
529168,2104397,2708.719414,-200.8447726,1
529168,2105397,2721.352274,-202.4220521,1
529168,2106397,2769.23058,-206.0997345,1
529168,2107397,2735.259676,-207.6397189,1
529168,2108397,2744.268425,-210.259567,1
529168,2109397,2719.753706,-211.8529389,1
529168,2110397,2692.428866,-214.1139646,1
529168,2111397,2664.732494,-216.9862953,1
530168,2092397,2655.009541,-183.2170784,1
530168,2093397,2820.123942,-188.0620308,1
530168,2094397,2728.453356,-185.6007119,1
530168,2095397,2692.437403,-184.2172188,1
530168,2096397,2776.78089,-189.7268169,1
530168,2097397,2780.528776,-190.0751059,1
530168,2098397,2931.978141,-196.5567135,1
530168,2099397,2993.796877,-198.0992767,1
530168,2100397,2861.573716,-197.4478877,1
530168,2101397,2829.669523,-199.0323305,1
530168,2102397,2814.468909,-204.4838223,1
530168,2103397,2877.974375,-205.7949134,1
530168,2104397,2790.519043,-204.1819173,1
530168,2105397,2923.071202,-207.6083048,1
530168,2106397,2841.461222,-207.1013292,1
530168,2107397,2824.19908,-209.72905,1
530168,2108397,2850.99463,-214.3368415,1
530168,2109397,2812.598103,-214.0084424,1
530168,2110397,2755.674019,-216.6072748,1
530168,2111397,2724.305568,-218.8754203,1
531168,2092397,2575.042374,-180.788843,1
531168,2093397,2779.301871,-188.5058145,1
531168,2094397,2913.12513,-194.8012974,1
531168,2095397,2786.521717,-190.534186,1
531168,2096397,2814.778731,-192.5520833,1
531168,2097397,2878.700557,-196.2457998,1
531168,2098397,2975.808895,-197.8031671,1
531168,2099397,3079.964458,-197.267424,1
531168,2100397,3014.638423,-199.5080217,1
531168,2101397,3033.463249,-201.6341564,1
531168,2102397,3003.641708,-203.603464,1
531168,2103397,3166.169842,-203.8645855,1
531168,2104397,3146.234004,-208.9575701,1
531168,2105397,3077.6036,-206.8533815,1
531168,2106397,3001.247762,-210.2599043,1
531168,2107397,2994.228637,-213.0018596,1
531168,2108397,2889.736496,-215.3023899,1
531168,2109397,2882.907756,-217.5258215,1
531168,2110397,2833.890254,-218.165259,1
531168,2111397,2814.96578,-222.0149502,1
532168,2092397,2616.546387,-182.6792123,1
532168,2093397,2850.173209,-192.2503137,1
532168,2094397,2943.677717,-192.8356195,1
532168,2095397,2988.856948,-194.4289561,1
532168,2096397,2938.881406,-194.5802343,1
532168,2097397,2986.328053,-197.3254495,1
532168,2098397,3094.647234,-197.2484384,1
532168,2099397,3203.086374,-199.0427908,1
532168,2100397,3259.365974,-199.7763899,1
532168,2101397,3158.752059,-202.0752831,1
532168,2102397,3215.830847,-204.0806199,1
532168,2103397,3397.798588,-204.537118,1
532168,2104397,3431.857127,-204.5021957,1
532168,2105397,3208.691288,-210.3978849,1
532168,2106397,3143.473654,-208.5921113,1
532168,2107397,3136.872918,-212.6666042,1
532168,2108397,3018.651736,-214.486818,1
532168,2109397,3008.775867,-218.7509967,1
532168,2110397,2989.213554,-221.6570952,1
532168,2111397,3030.634287,-221.211257,1
533168,2092397,2664.423398,-185.5203323,1
533168,2093397,2942.978061,-198.228968,1
533168,2094397,2761.626575,-190.0901331,1
533168,2095397,2962.223715,-193.7711827,1
533168,2096397,3093.668296,-195.5208253,1
533168,2097397,3115.008213,-196.0691659,1
533168,2098397,3219.583531,-197.6151854,1
533168,2099397,3379.929546,-199.2782624,1
533168,2100397,3440.97225,-200.4455889,1
533168,2101397,3333.494562,-205.1504824,1
533168,2102397,3386.742194,-204.8409006,1
533168,2103397,3464.40392,-205.6091482,1
533168,2104397,3606.611808,-206.2334658,1
533168,2105397,3344.32171,-215.5634873,1
533168,2106397,3419.652842,-208.4364153,1
533168,2107397,3205.463103,-214.3230666,1
533168,2108397,3239.640478,-216.3390314,1
533168,2109397,3295.179229,-217.3540517,1
533168,2110397,3187.310532,-217.9663213,1
533168,2111397,3284.516863,-219.2288903,1
534168,2092397,2631.106554,-186.5876829,1
534168,2093397,2574.959091,-186.3345758,1
534168,2094397,2639.670203,-190.2870682,1
534168,2095397,2972.912583,-199.4373532,1
534168,2096397,3058.45913,-195.3162777,1
534168,2097397,3164.959115,-194.7318551,1
534168,2098397,3309.60463,-197.2936076,1
534168,2099397,3451.640973,-201.1092829,1
534168,2100397,3568.761751,-202.1828396,1
534168,2101397,3640.391923,-204.3307103,1
534168,2102397,3603.13638,-205.7231966,1
534168,2103397,3692.215673,-205.9778497,1
534168,2104397,3802.683062,-209.3554105,1
534168,2105397,3737.599242,-211.1927171,1
534168,2106397,3600.138918,-210.0470578,1
534168,2107397,3355.012477,-213.4876832,1
534168,2108397,3452.990285,-218.8334304,1
534168,2109397,3600.400252,-214.9700411,1
534168,2110397,3371.711455,-215.2038425,1
534168,2111397,3464.165794,-217.61026,1
535168,2092397,2928.386676,-192.0550863,1
535168,2093397,3003.721556,-194.1265129,1
535168,2094397,2934.567563,-190.9364159,1
535168,2095397,3036.12061,-193.9819169,1
535168,2096397,3115.270655,-195.8703674,1
535168,2097397,3265.206028,-195.8283271,1
535168,2098397,3382.267197,-199.6914463,1
535168,2099397,3522.960841,-201.4895781,1
535168,2100397,3695.585777,-203.6482448,1
535168,2101397,3756.73381,-205.7889993,1
535168,2102397,3766.181805,-209.3150144,1
535168,2103397,3884.079669,-209.6213647,1
535168,2104397,3860.665131,-210.4565864,1
535168,2105397,3934.00743,-212.6495106,1
535168,2106397,3689.489114,-213.8907066,1
535168,2107397,3305.552356,-225.3755797,1
535168,2108397,3701.801172,-216.1323199,1
535168,2109397,3588.835873,-214.4063348,1
535168,2110397,3497.629019,-215.9955627,1
535168,2111397,3617.704647,-217.5432604,1
536168,2092397,2846.064775,-189.9499408,1
536168,2093397,2897.249685,-189.0838768,1
536168,2094397,3029.582092,-192.2460404,1
536168,2095397,3102.811445,-192.1435998,1
536168,2096397,3199.033366,-194.3556342,1
536168,2097397,3287.102696,-196.4911094,1
536168,2098397,3364.209822,-199.7654839,1
536168,2099397,3554.682895,-202.3612914,1
536168,2100397,3751.413248,-207.3072079,1
536168,2101397,3902.077159,-208.9356838,1
536168,2102397,4016.215906,-213.3902996,1
536168,2103397,4072.006803,-213.3350623,1
536168,2104397,4104.623712,-214.4861413,1
536168,2105397,4048.457174,-218.2040553,1
536168,2106397,3692.914815,-219.1365663,1
536168,2107397,3635.562991,-220.4814997,1
536168,2108397,3793.815987,-215.2526408,1
536168,2109397,3677.027385,-214.1423327,1
536168,2110397,3597.061554,-216.48126,1
536168,2111397,3695.028455,-218.9731112,1
537168,2092397,2738.507893,-185.581105,1
537168,2093397,2866.097687,-190.7409405,1
537168,2094397,2996.583826,-193.5839982,1
537168,2095397,3115.559018,-192.1904377,1
537168,2096397,3200.152881,-194.7014012,1
537168,2097397,3332.595762,-197.5293188,1
537168,2098397,3434.564745,-199.4283824,1
537168,2099397,3637.980993,-204.9171231,1
537168,2100397,3835.159569,-208.5019906,1
537168,2101397,4122.329437,-215.7031249,1
537168,2102397,4268.660252,-219.4181529,1
537168,2103397,4353.960541,-222.4521,1
537168,2104397,4328.569746,-221.7312186,1
537168,2105397,4058.907051,-219.6015087,1
537168,2106397,3684.691802,-223.4478284,1
537168,2107397,3969.564041,-218.8172177,1
537168,2108397,3803.263086,-214.5437115,1
537168,2109397,3761.916424,-216.3461013,1
537168,2110397,3684.111068,-217.9721426,1
537168,2111397,3681.474652,-220.7641366,1
538168,2092397,2732.850906,-182.3936833,1
538168,2093397,2754.502462,-185.6134981,1
538168,2094397,2892.103595,-191.7967335,1
538168,2095397,2991.650129,-196.0998786,1
538168,2096397,3081.735768,-198.713989,1
538168,2097397,3161.653757,-199.6793558,1
538168,2098397,3397.069492,-199.6186903,1
538168,2099397,3662.829628,-205.3471038,1
538168,2100397,3925.348146,-210.6318422,1
538168,2101397,4289.641962,-220.4801361,1
538168,2102397,4674.3772,-234.4701591,1
538168,2103397,4760.328416,-238.1276815,1
538168,2104397,4667.283951,-237.1635179,1
538168,2105397,4183.024839,-224.3237146,1
538168,2106397,4049.251151,-221.1381798,1
538168,2107397,3955.574627,-217.5713255,1
538168,2108397,3776.48292,-216.063948,1
538168,2109397,3758.935152,-216.3310354,1
538168,2110397,3658.370744,-219.660491,1
538168,2111397,3643.006924,-221.1696986,1
539168,2092397,2546.039881,-176.2021381,1
539168,2093397,2637.220999,-180.4432789,1
539168,2094397,2755.161857,-188.0254332,1
539168,2095397,2872.457318,-190.7520073,1
539168,2096397,3005.831775,-193.1307153,1
539168,2097397,3230.575478,-196.6610533,1
539168,2098397,3398.347042,-199.2361544,1
539168,2099397,3604.052815,-204.9023953,1
539168,2100397,3936.693856,-211.3543712,1
539168,2101397,4321.646458,-221.1724011,1
539168,2102397,4864.681645,-243.119241,1
539168,2103397,5331.262054,-275.3194698,1
539168,2104397,4797.993017,-240.6424373,1
539168,2105397,4313.252272,-226.8143202,1
539168,2106397,4033.357335,-219.3694632,1
539168,2107397,3869.998506,-216.6420394,1
539168,2108397,3932.256637,-220.9167704,1
539168,2109397,3665.247211,-218.4501991,1
539168,2110397,3608.660774,-219.253973,1
539168,2111397,3587.490024,-221.7923864,1
540168,2092397,2495.694328,-175.8891763,1
540168,2093397,2645.175423,-180.3012906,1
540168,2094397,2725.827621,-184.3287159,1
540168,2095397,2924.861235,-192.8395247,1
540168,2096397,3038.422807,-193.2814071,1
540168,2097397,3136.919496,-196.6780314,1
540168,2098397,3277.765653,-201.2307215,1
540168,2099397,3476.418853,-200.7374515,1
540168,2100397,3785.793159,-210.9401561,1
540168,2101397,4184.020755,-218.6319069,1
540168,2102397,4682.958966,-235.1672558,1
540168,2103397,5071.03416,-254.3871025,1
540168,2104397,4769.354525,-238.7691193,1
540168,2105397,4347.760517,-225.4712034,1
540168,2106397,3998.353588,-220.5325316,1
540168,2107397,3807.695474,-216.5876226,1
540168,2108397,3696.232271,-216.3874337,1
540168,2109397,3562.815213,-219.1760093,1
540168,2110397,3539.933237,-220.2535325,1
540168,2111397,3543.987141,-221.2152878,1
541168,2092397,2610.794238,-177.8058268,1
541168,2093397,2682.578128,-180.2123983,1
541168,2094397,2754.350755,-184.5480136,1
541168,2095397,2811.392158,-188.2691053,1
541168,2096397,2924.675285,-194.6209853,1
541168,2097397,3037.351711,-197.1851487,1
541168,2098397,3219.802942,-197.216055,1
541168,2099397,3534.840085,-201.85301,1
541168,2100397,3662.220076,-205.8418425,1
541168,2101397,3968.152713,-213.5608175,1
541168,2102397,4351.173793,-222.7793963,1
541168,2103397,4490.077257,-227.3470546,1
541168,2104397,4428.515353,-225.9197883,1
541168,2105397,4218.493544,-219.8113828,1
541168,2106397,4049.233472,-218.7324642,1
541168,2107397,3785.225973,-215.5575563,1
541168,2108397,3603.33262,-216.9680181,1
541168,2109397,3525.015545,-218.4632978,1
541168,2110397,3439.348105,-220.1411962,1
541168,2111397,3450.95666,-225.0934579,1
542168,2092397,2459.965093,-172.1845937,1
542168,2093397,2591.174682,-177.1384896,1
542168,2094397,2645.472928,-180.1550608,1
542168,2095397,2754.576454,-185.3386376,1
542168,2096397,2846.086161,-192.0613091,1
542168,2097397,2982.188092,-193.6753127,1
542168,2098397,3178.91951,-195.7484872,1
542168,2099397,3267.776603,-196.8965399,1
542168,2100397,3442.309369,-202.8151457,1
542168,2101397,3744.265505,-208.1886873,1
542168,2102397,3898.293139,-211.7540143,1
542168,2103397,4000.316145,-214.3186514,1
542168,2104397,4085.546637,-215.6968158,1
542168,2105397,4006.487054,-215.5398556,1
542168,2106397,3914.637595,-215.5296096,1
542168,2107397,3685.351717,-215.0180075,1
542168,2108397,3480.124555,-216.1802041,1
542168,2109397,3369.146589,-219.2214106,1
542168,2110397,3357.690042,-220.3601848,1
542168,2111397,3290.464806,-223.992911,1
543168,2092397,2406.06324,-170.4330384,1
543168,2093397,2505.034053,-174.2252033,1
543168,2094397,2579.224415,-178.4601377,1
543168,2095397,2671.284692,-182.112127,1
543168,2096397,2783.228928,-187.2046673,1
543168,2097397,2899.651988,-193.2073436,1
543168,2098397,3019.777299,-194.9020298,1
543168,2099397,3074.164316,-197.5478462,1
543168,2100397,3222.421193,-201.655116,1
543168,2101397,3385.159786,-204.1625176,1
543168,2102397,3532.017461,-205.142612,1
543168,2103397,3655.114716,-207.0770044,1
543168,2104397,3752.454107,-208.687248,1
543168,2105397,3794.898902,-210.5189211,1
543168,2106397,3698.267735,-212.4397362,1
543168,2107397,3482.238978,-214.7975452,1
543168,2108397,3348.069369,-215.9783481,1
543168,2109397,3270.088396,-218.8921583,1
543168,2110397,3217.563528,-220.4506181,1
543168,2111397,3195.931458,-223.7855119,1
544168,2092397,2387.322316,-170.9079338,1
544168,2093397,2430.014951,-172.1183446,1
544168,2094397,2541.462387,-177.1692885,1
544168,2095397,2561.225022,-178.6016627,1
544168,2096397,2717.230159,-184.259313,1
544168,2097397,2785.946359,-187.2995706,1
544168,2098397,2846.585044,-193.5762205,1
544168,2099397,2951.313895,-197.2121603,1
544168,2100397,3081.481595,-198.6378753,1
544168,2101397,3141.149993,-201.935609,1
544168,2102397,3303.365106,-203.1742837,1
544168,2103397,3391.583302,-204.7496738,1
544168,2104397,3497.933649,-206.9782791,1
544168,2105397,3440.455341,-208.3765085,1
544168,2106397,3376.370191,-212.2853283,1
544168,2107397,3243.825379,-214.9173049,1
544168,2108397,3196.525644,-216.9794051,1
544168,2109397,3130.95266,-219.9677029,1
544168,2110397,3177.953477,-221.8331296,1
544168,2111397,3128.88221,-225.1374917,1
545168,2092397,2299.139671,-168.9602407,1
545168,2093397,2415.1995,-174.0672535,1
545168,2094397,2401.87002,-174.8221207,1
545168,2095397,2462.177522,-177.5523657,1
545168,2096397,2576.197629,-180.5956902,1
545168,2097397,2603.546325,-182.9593312,1
545168,2098397,2686.615593,-188.6010064,1
545168,2099397,2814.253254,-194.377545,1
545168,2100397,2901.922454,-198.2068073,1
545168,2101397,3072.183984,-201.1455573,1
545168,2102397,3128.536685,-202.3941181,1
545168,2103397,3177.237228,-203.611117,1
545168,2104397,3220.128278,-205.4917642,1
545168,2105397,3212.174241,-208.1549665,1
545168,2106397,3189.731749,-211.5738319,1
545168,2107397,3080.9379,-216.8106504,1
545168,2108397,3047.444371,-218.0705383,1
545168,2109397,3024.923741,-221.6135177,1
545168,2110397,3003.949462,-222.8783248,1
545168,2111397,3002.515792,-226.2539456,1
546168,2092397,2221.549261,-167.6068566,1
546168,2093397,2241.935151,-170.1052072,1
546168,2094397,2307.988654,-172.9760174,1
546168,2095397,2388.524148,-175.9443166,1
546168,2096397,2461.156884,-178.7025218,1
546168,2097397,2523.481207,-182.3299016,1
546168,2098397,2597.540882,-185.6124188,1
546168,2099397,2683.47544,-189.3508046,1
546168,2100397,2796.174251,-194.0554208,1
546168,2101397,2895.575643,-200.6784712,1
546168,2102397,2974.366061,-203.351794,1
546168,2103397,3029.06547,-203.6592682,1
546168,2104397,3033.278433,-207.1112652,1
546168,2105397,3057.159251,-209.6957378,1
546168,2106397,3086.740174,-211.669425,1
546168,2107397,3011.563581,-216.5151544,1
546168,2108397,2939.023954,-220.676733,1
546168,2109397,2934.661745,-223.3045987,1
546168,2110397,2915.253396,-224.8601806,1
546168,2111397,2949.343847,-228.861979,1
547168,2092397,2147.032465,-167.1928528,1
547168,2093397,2193.940964,-168.805587,1
547168,2094397,2290.493156,-172.9019953,1
547168,2095397,2344.478199,-174.9634201,1
547168,2096397,2401.257132,-177.8554024,1
547168,2097397,2466.173092,-180.9722393,1
547168,2098397,2532.311971,-183.8344027,1
547168,2099397,2583.321296,-186.8776988,1
547168,2100397,2669.85566,-190.5640382,1
547168,2101397,2775.928847,-195.1025459,1
547168,2102397,2822.988153,-198.2184125,1
547168,2103397,2863.671159,-202.179532,1
547168,2104397,2889.227736,-206.0205299,1
547168,2105397,2925.193041,-209.5470714,1
547168,2106397,2965.883409,-211.4241285,1
547168,2107397,2944.57234,-215.6065053,1
547168,2108397,2840.70208,-218.0336433,1
547168,2109397,2849.774241,-221.1831848,1
547168,2110397,2848.308738,-224.3444085,1
547168,2111397,2800.957855,-225.9112742,1
548168,2092397,2092.95081,-165.5406965,1
548168,2093397,2163.894257,-169.3768485,1
548168,2094397,2258.993716,-172.1110409,1
548168,2095397,2300.425707,-174.6718045,1
548168,2096397,2356.399789,-177.5902593,1
548168,2097397,2412.841714,-180.2009028,1
548168,2098397,2455.526899,-182.4222747,1
548168,2099397,2494.568423,-184.517429,1
548168,2100397,2585.276261,-188.6018963,1
548168,2101397,2682.795293,-193.199108,1
548168,2102397,2739.183879,-196.6483295,1
548168,2103397,2785.181619,-199.9114984,1
548168,2104397,2816.576497,-202.9206789,1
548168,2105397,2836.724887,-207.6791942,1
548168,2106397,2870.187622,-210.7623098,1
548168,2107397,2872.291687,-214.7137542,1
548168,2108397,2836.298719,-218.444773,1
548168,2109397,2768.262626,-220.1308173,1
548168,2110397,2730.529848,-222.5073479,1
548168,2111397,2705.626321,-225.6741064,1
