x_m,y_m,z_m,gv_mGal,std_dev
528873,2092233,2509.008733,1.1510489,0.1
528873,2094233,2611.526245,-0.169454965,0.1
528873,2096233,2627.007418,1.43419754,0.1
528873,2098233,2781.446311,-0.133009961,0.1
528873,2100233,2708.378227,1.018819182,0.1
528873,2112233,2620.308245,-0.398360162,0.1
528873,2114233,2696.658798,0.299521322,0.1
528873,2116233,2756.249591,0.134146034,0.1
528873,2118233,2850.856561,0.762517797,0.1
528873,2120233,3045.610636,-0.009575112,0.1
528873,2122233,3099.346143,0.630686402,0.1
528873,2124233,2891.465331,-0.479019624,0.1
530873,2092233,2770.945117,-2.92287109,0.1
530873,2094233,2815.662211,-1.104600338,0.1
530873,2096233,2792.336183,-0.084976584,0.1
530873,2098233,2901.714353,-0.032859038,0.1
530873,2100233,2967.04165,2.007832125,0.1
530873,2102233,2928.666322,1.05049923,0.1
530873,2104233,3022.618503,-0.939933681,0.1
530873,2106233,2916.347399,2.592928647,0.1
530873,2108233,2871.678283,1.206410376,0.1
530873,2110233,2812.55686,1.482157721,0.1
530873,2112233,2838.198416,1.293633109,0.1
530873,2114233,2891.073873,2.274923175,0.1
530873,2116233,3033.141792,2.0547668,0.1
530873,2118233,3171.98239,1.368733298,0.1
530873,2120233,3303.131667,1.552347812,0.1
530873,2122233,3322.362148,1.977097245,0.1
532873,2092233,2517.949608,-0.806771614,0.1
532873,2094233,2928.999228,-0.85320054,0.1
532873,2096233,3012.576351,0.316774305,0.1
532873,2098233,3185.92624,0.542507394,0.1
532873,2100233,3384.086698,-1.183313087,0.1
532873,2102233,3315.2375,1.319882689,0.1
532873,2104233,3549.643129,0.091973924,0.1
532873,2106233,3313.247652,2.933065239,0.1
532873,2108233,3095.929691,1.843234742,0.1
532873,2110233,3134.140073,2.769907658,0.1
532873,2112233,3157.580146,1.3146808,0.1
532873,2114233,3424.391898,-5.763347791,0.1
532873,2116233,3443.844493,1.403752726,0.1
532873,2118233,3449.709811,0.411719176,0.1
532873,2120233,3626.657826,1.312010978,0.1
532873,2122233,3663.074942,-0.218343283,0.1
534873,2092233,2975.174061,-3.81873229,0.1
534873,2094233,2910.495215,-0.069242394,0.1
534873,2096233,3091.335897,0.845564744,0.1
534873,2098233,3351.797298,-0.493402266,0.1
534873,2100233,3645.503898,-1.776057,0.1
534873,2102233,3671.119139,2.435952317,0.1
534873,2104233,3837.683429,0.146729449,0.1
534873,2106233,3725.318692,1.662127019,0.1
534873,2108233,3613.998685,-3.828437244,0.1
534873,2110233,3481.136842,4.203410082,0.1
534873,2112233,3605.639044,1.73216485,0.1
534873,2114233,3647.216233,-0.802552259,0.1
534873,2116233,3865.104149,-2.019117117,0.1
534873,2118233,3901.670729,2.801261395,0.1
534873,2120233,4062.058274,0.100544306,0.1
534873,2122233,4067.390189,-1.794364473,0.1
534873,2124233,3830.286338,1.905001288,0.1
536873,2092233,2688.290451,0.489807949,0.1
536873,2094233,2953.923449,-1.665886997,0.1
536873,2096233,3199.909385,0.103225804,0.1
536873,2098233,3405.301273,1.650549348,0.1
536873,2100233,3813.18936,-0.310097699,0.1
536873,2102233,4147.109327,-0.894543394,0.1
536873,2104233,4256.44024,-0.904559182,0.1
536873,2106233,3853.824629,1.109942156,0.1
536873,2108233,3831.697304,-0.284218876,0.1
536873,2110233,3673.40026,1.090128495,0.1
536873,2112233,3798.267992,-1.032703097,0.1
536873,2114233,3924.418844,-0.738245929,0.1
536873,2116233,3926.138403,-0.055861647,0.1
536873,2118233,4357.237062,-1.425672517,0.1
536873,2120233,4798.185593,-16.21346,0.1
536873,2122233,4554.16946,-11.74038324,0.1
536873,2124233,4128.260868,-2.798942857,0.1
538873,2092233,2564.092098,0.846923045,0.1
538873,2094233,2719.169021,1.003918025,0.1
538873,2096233,2983.649593,1.453038303,0.1
538873,2098233,3377.900902,2.522121164,0.1
538873,2100233,3902.846142,-0.650393249,0.1
538873,2102233,4725.039069,-24.4167331,0.1
538873,2104233,4891.90244,-29.27869207,0.1
538873,2106233,4083.020032,2.129489002,0.1
538873,2108233,3902.154472,-0.617206962,0.1
538873,2110233,3630.326208,1.722649304,0.1
538873,2112233,3661.925724,1.863305808,0.1
538873,2114233,3790.838944,1.044135319,0.1
538873,2116233,4279.972228,-9.016334646,0.1
538873,2118233,4565.94053,-7.211045963,0.1
538873,2120233,4621.689867,-7.646019473,0.1
538873,2122233,4293.761825,-4.1881386,0.1
538873,2124233,4205.562697,-7.350428161,0.1
540873,2092233,2636.863053,-0.402265914,0.1
540873,2094233,2749.869757,0.872107067,0.1
540873,2096233,2913.170926,0.712696181,0.1
540873,2098233,3189.298094,2.316391063,0.1
540873,2100233,3717.947075,1.090207851,0.1
540873,2102233,4440.253305,-12.76009941,0.1
540873,2104233,4580.790098,-15.33676231,0.1
540873,2106233,4088.595224,-1.121751322,0.1
540873,2108233,3638.431757,2.672794672,0.1
540873,2110233,3449.389066,1.611997529,0.1
540873,2112233,3619.421635,-1.569438405,0.1
540873,2114233,3667.699288,1.321774467,0.1
540873,2116233,3822.068146,1.523557912,0.1
540873,2118233,3830.81062,0.780251594,0.1
540873,2120233,4045.896575,2.022108511,0.1
540873,2122233,3659.179928,0.657969002,0.1
540873,2124233,3756.935687,0.366062524,0.1
542873,2092233,2418.792254,0.967441924,0.1
542873,2094233,2624.413607,1.046529497,0.1
542873,2096233,2794.702522,1.535041796,0.1
542873,2098233,3054.59029,2.792828886,0.1
542873,2100233,3235.896928,3.407687,0.1
542873,2102233,3613.648813,2.280850595,0.1
542873,2104233,3800.626705,1.543221028,0.1
542873,2106233,3790.382199,-0.47362606,0.1
542873,2108233,3407.375537,2.061468573,0.1
542873,2110233,3258.090862,1.676471245,0.1
542873,2112233,3226.749951,1.494747128,0.1
542873,2114233,3368.850132,1.994918744,0.1
542873,2116233,3581.728084,-0.369832242,0.1
542873,2118233,3633.6339,1.534843308,0.1
542873,2120233,3558.624002,0.074458988,0.1
542873,2122233,3418.425171,3.28471749,0.1
542873,2124233,3399.97864,1.162684967,0.1
544873,2092233,2313.3027,0.213118286,0.1
544873,2094233,2458.946706,0.397471775,0.1
544873,2096233,2580.926544,1.116490933,0.1
544873,2098233,2718.390074,1.979089853,0.1
544873,2100233,2932.659244,2.484792657,0.1
544873,2102233,3171.204369,2.304689353,0.1
544873,2104233,3268.308068,2.852973618,0.1
544873,2106233,3213.539793,2.15490496,0.1
544873,2108233,3091.176198,1.330413572,0.1
544873,2110233,3038.302028,1.543277703,0.1
544873,2112233,3110.181098,0.358909444,0.1
544873,2114233,3099.728363,1.227760625,0.1
544873,2116233,3107.525488,1.092723615,0.1
544873,2118233,3240.418735,1.560819612,0.1
544873,2120233,3319.64801,1.964689118,0.1
544873,2122233,3219.795593,2.162663704,0.1
544873,2124233,3057.026636,1.194771029,0.1
546873,2092233,2163.571031,-0.158236055,0.1
546873,2094233,2258.608111,-0.020870941,0.1
546873,2096233,2407.243814,0.576693343,0.1
546873,2098233,2532.520423,0.838301987,0.1
546873,2100233,2715.564357,1.578150222,0.1
546873,2102233,2884.78918,1.28031806,0.1
546873,2104233,2915.508885,1.693800613,0.1
546873,2106233,2994.134743,1.191460883,0.1
546873,2108233,2869.247072,-0.148401316,0.1
546873,2110233,2882.445026,0.579626848,0.1
546873,2112233,2770.707128,-0.800379901,0.1
546873,2114233,2859.138682,-0.477939096,0.1
546873,2116233,3017.474153,0.190041227,0.1
546873,2118233,3063.959167,-0.093779654,0.1
546873,2120233,2911.122332,0.077427664,0.1
546873,2122233,2986.389802,1.620613351,0.1
546873,2124233,2745.352392,0.004920374,0.1
548873,2092233,2082.747079,-0.209442506,0.1
548873,2094233,2217.980151,-0.178957085,0.1
548873,2096233,2320.721766,-0.492309953,0.1
548873,2098233,2412.533798,0.172083665,0.1
548873,2100233,2523.759376,0.859576153,0.1
548873,2102233,2721.578697,0.578088966,0.1
548873,2104233,2741.565335,1.185774243,0.1
548873,2106233,2760.824972,0.521313404,0.1
548873,2108233,2813.919303,-0.254284537,0.1
548873,2110233,2699.255909,-0.016206449,0.1
548873,2112233,2757.139643,-1.02267031,0.1
548873,2114233,2761.06886,-1.182497686,0.1
548873,2116233,2840.935583,-0.54629357,0.1
548873,2118233,2824.462948,-0.353926816,0.1
548873,2120233,2933.081221,-0.437256123,0.1
548873,2122233,2688.821214,-1.096213465,0.1
550873,2092233,2064.565718,-0.380769111,0.1
550873,2094233,2144.129032,-0.53179831,0.1
550873,2096233,2209.496547,-0.254436726,0.1
550873,2098233,2304.265764,-0.08424126,0.1
550873,2100233,2400.631828,0.071812053,0.1
550873,2102233,2506.938003,-0.750785378,0.1
550873,2104233,2573.715777,-0.47064761,0.1
550873,2106233,2657.690668,0.370694361,0.1
550873,2108233,2681.612491,-0.850886732,0.1
550873,2110233,2566.01109,-1.119773802,0.1
550873,2112233,2681.390178,-1.666103661,0.1
550873,2114233,2655.208238,-1.184243004,0.1
550873,2116233,2708.649058,-1.198995266,0.1
550873,2118233,2751.202121,-0.806484278,0.1
550873,2120233,2698.946996,-0.249080393,0.1
550873,2122233,2607.591285,-0.736669531,0.1
552873,2092233,2024.534101,-0.272010295,0.1
552873,2094233,2090.025297,-0.181533881,0.1
552873,2096233,2163.337269,-0.183433132,0.1
552873,2098233,2258.988019,-0.349456254,0.1
552873,2100233,2368.347994,-0.489299869,0.1
552873,2102233,2450.735913,0.041334931,0.1
552873,2104233,2472.554557,-0.065962628,0.1
552873,2106233,2532.503438,-0.333613534,0.1
552873,2108233,2516.108357,-0.882211628,0.1
552873,2110233,2459.421329,-1.995737448,0.1
552873,2112233,2589.084737,-1.141631044,0.1
552873,2114233,2603.113125,-1.599215338,0.1
552873,2116233,2613.449398,-1.713116974,0.1
552873,2118233,2606.809624,-1.008462706,0.1
552873,2120233,2587.242178,-1.120109329,0.1
552873,2122233,2521.51765,-1.180454376,0.1
552873,2124233,2482.238163,-0.715843677,0.1
554873,2092233,1967.129262,-0.793639828,0.1
554873,2094233,2089.858316,-0.544809752,0.1
554873,2096233,2146.005722,0.007273326,0.1
554873,2098233,2158.322433,-0.124084097,0.1
554873,2100233,2257.736441,-0.100441756,0.1
554873,2102233,2347.808369,-0.352281532,0.1
554873,2104233,2427.934686,-0.178762535,0.1
554873,2106233,2452.402386,-0.638586175,0.1
554873,2108233,2415.345668,-0.945860162,0.1
554873,2110233,2484.51694,-1.11572525,0.1
554873,2112233,2468.853963,-1.197067556,0.1
554873,2114233,2497.8254,-1.978306611,0.1
554873,2116233,2495.316458,-1.253533747,0.1
554873,2118233,2502.883836,-1.386823666,0.1
554873,2120233,2489.50568,-0.603482657,0.1
554873,2122233,2429.347988,-0.855057819,0.1
554873,2124233,2404.646858,-0.46995281,0.1
556873,2092233,1899.036999,0.192104372,0.1
556873,2094233,1952.278463,-1.041265604,0.1
556873,2096233,2082.482482,0.730391793,0.1
556873,2098233,2105.268908,0.028000712,0.1
556873,2100233,2228.771552,0.18808648,0.1
556873,2102233,2289.132995,0.52843386,0.1
556873,2104233,2362.356047,0.24989857,0.1
556873,2106233,2362.509435,-0.243124583,0.1
556873,2108233,2403.900893,-0.302861746,0.1
556873,2110233,2391.721289,-1.216244328,0.1
556873,2112233,2418.672013,-0.666081364,0.1
556873,2114233,2425.167088,-0.835922134,0.1
556873,2116233,2458.038659,-0.986793892,0.1
556873,2118233,2422.431024,-0.802222688,0.1
556873,2120233,2400.874341,-0.383044672,0.1
556873,2122233,2367.970902,-0.113971784,0.1
556873,2124233,2348.564354,-0.293405552,0.1
558873,2092233,1876.098415,0.194804769,0.1
558873,2094233,1900.538126,0.366028724,0.1
558873,2096233,2104.013288,0.059312816,0.1
558873,2098233,2155.032412,0.892961897,0.1
558873,2100233,2164.082525,1.179322871,0.1
558873,2102233,2257.861555,0.464040862,0.1
558873,2104233,2265.072307,0.353196196,0.1
558873,2106233,2246.290793,0.363477317,0.1
558873,2108233,2293.28833,0.245624843,0.1
558873,2110233,2367.729774,0.238649534,0.1
558873,2112233,2353.624753,0.086538277,0.1
558873,2114233,2350.561905,0.456077825,0.1
558873,2116233,2376.24331,0.124592611,0.1
558873,2118233,2327.417033,0.026275497,0.1
558873,2120233,2324.741242,0.573778329,0.1
558873,2122233,2299.773892,0.500688978,0.1
558873,2124233,2297.439245,0.579402038,0.1
